year,stage,home_team,away_team,ft_home_goals,ft_away_goals,ht_home_goals,ht_away_goals,ft_total_goals,ht_total_goals,which_half_more_goals,both_teams_to_score
1990,Round of 16,Germany FR,Netherlands,2,1,0,0,3,0,second,yes
1990,Round of 16,"rn"">Republic of Ireland",Romania,0,0,0,0,0,0,same,no
1990,Round of 16,Italy,Uruguay,2,0,0,0,2,0,second,no
1990,Round of 16,Spain,Yugoslavia,1,2,0,0,3,0,second,yes
1990,Round of 16,England,Belgium,1,0,0,0,1,0,second,no
1990,Quarter-finals,Yugoslavia,Argentina,0,0,0,0,0,0,same,no
1990,Quarter-finals,Italy,"rn"">Republic of Ireland",1,0,1,0,1,1,first,no
1990,Quarter-finals,Germany FR,Czechoslovakia,1,0,1,0,1,1,first,no
1990,Quarter-finals,England,Cameroon,3,2,0,0,5,0,second,yes
1990,Semi-finals,Italy,Argentina,1,1,0,0,2,0,second,yes
1990,Semi-finals,Germany FR,England,1,1,0,0,2,0,second,yes
1990,Third Place Play-off,Italy,England,2,1,0,0,3,0,second,yes
1990,Final,Germany FR,Argentina,1,0,0,0,1,0,second,no
1994,Group,Spain,Korea Republic,2,2,0,0,4,0,second,yes
1994,Group,Germany,Bolivia,1,0,0,0,1,0,second,no
1994,Group,USA,Switzerland,1,1,1,1,2,2,first,yes
1994,Group,Italy,"rn"">Republic of Ireland",0,1,0,1,1,1,first,no
1994,Group,Colombia,Romania,1,3,1,2,4,3,first,yes
1994,Group,Belgium,Morocco,1,0,1,0,1,1,first,no
1994,Group,Norway,Mexico,1,0,0,0,1,0,second,no
1994,Group,Cameroon,Sweden,2,2,1,1,4,2,same,yes
1994,Group,Netherlands,Saudi Arabia,2,1,0,1,3,1,second,yes
1994,Group,Brazil,Russia,2,0,1,0,2,1,same,no
1994,Group,Argentina,Greece,4,0,2,0,4,2,same,no
1994,Group,Nigeria,Bulgaria,3,0,2,0,3,2,first,no
1994,Group,Germany,Spain,1,1,0,1,2,1,same,yes
1994,Group,Romania,Switzerland,1,4,1,1,5,2,second,yes
1994,Group,USA,Colombia,2,1,1,0,3,1,second,yes
1994,Group,Italy,Norway,1,0,0,0,1,0,second,no
1994,Group,Korea Republic,Bolivia,0,0,0,0,0,0,same,no
1994,Group,Mexico,"rn"">Republic of Ireland",2,1,1,0,3,1,second,yes
1994,Group,Sweden,Russia,3,1,1,1,4,2,same,yes
1994,Group,Brazil,Cameroon,3,0,1,0,3,1,second,no
1994,Group,Belgium,Netherlands,1,0,0,0,1,0,second,no
1994,Group,Saudi Arabia,Morocco,2,1,2,1,3,3,first,yes
1994,Group,Argentina,Nigeria,2,1,2,1,3,3,first,yes
1994,Group,Bulgaria,Greece,4,0,1,0,4,1,second,no
1994,Group,USA,Romania,0,1,0,1,1,1,first,no
1994,Group,Switzerland,Colombia,0,2,0,1,2,1,same,no
1994,Group,Germany,Korea Republic,3,2,3,0,5,3,first,yes
1994,Group,Bolivia,Spain,1,3,0,1,4,1,second,yes
1994,Group,"rn"">Republic of Ireland",Norway,0,0,0,0,0,0,same,no
1994,Group,Brazil,Sweden,1,1,0,1,2,1,same,yes
1994,Group,Italy,Mexico,1,1,0,0,2,0,second,yes
1994,Group,Russia,Cameroon,6,1,3,0,7,3,second,yes
1994,Group,Morocco,Netherlands,1,2,0,1,3,1,second,yes
1994,Group,Belgium,Saudi Arabia,0,1,0,1,1,1,first,no
1994,Group,Greece,Nigeria,0,2,0,1,2,1,same,no
1994,Group,Argentina,Bulgaria,0,2,0,0,2,0,second,no
1994,Round of 16,Germany,Belgium,3,2,3,1,5,4,first,yes
1994,Round of 16,Spain,Switzerland,3,0,1,0,3,1,second,no
1994,Round of 16,Saudi Arabia,Sweden,1,3,0,1,4,1,second,yes
1994,Round of 16,Romania,Argentina,3,2,2,1,5,3,first,yes
1994,Round of 16,Netherlands,"rn"">Republic of Ireland",2,0,2,0,2,2,first,no
1994,Round of 16,Brazil,USA,1,0,0,0,1,0,second,no
1994,Round of 16,Nigeria,Italy,1,2,0,0,3,0,second,yes
1994,Round of 16,Mexico,Bulgaria,1,1,0,0,2,0,second,yes
1994,Quarter-finals,Italy,Spain,2,1,1,0,3,1,second,yes
1994,Quarter-finals,Netherlands,Brazil,2,3,0,0,5,0,second,yes
1994,Quarter-finals,Bulgaria,Germany,2,1,0,0,3,0,second,yes
1994,Quarter-finals,Romania,Sweden,2,2,0,0,4,0,second,yes
1994,Semi-finals,Bulgaria,Italy,1,2,1,2,3,3,first,yes
1994,Semi-finals,Sweden,Brazil,0,1,0,0,1,0,second,no
1994,Third Place Play-off,Sweden,Bulgaria,4,0,4,0,4,4,first,no
1994,Final,Brazil,Italy,0,0,0,0,0,0,same,no
1998,Group,Brazil,Scotland,2,1,1,1,3,2,first,yes
1998,Group,Morocco,Norway,2,2,1,1,4,2,same,yes
1998,Group,Italy,Chile,2,2,1,1,4,2,same,yes
1998,Group,Cameroon,Austria,1,1,0,0,2,0,second,yes
1998,Group,Paraguay,Bulgaria,0,0,0,0,0,0,same,no
1998,Group,Saudi Arabia,Denmark,0,1,0,0,1,0,second,no
1998,Group,France,South Africa,3,0,1,0,3,1,second,no
1998,Group,Spain,Nigeria,2,3,1,1,5,2,second,yes
1998,Group,Korea Republic,Mexico,1,3,1,0,4,1,second,yes
1998,Group,Netherlands,Belgium,0,0,0,0,0,0,same,no
1998,Group,Argentina,Japan,1,0,1,0,1,1,first,no
1998,Group,Yugoslavia,Iran,1,0,0,0,1,0,second,no
1998,Group,Jamaica,Croatia,1,3,1,1,4,2,same,yes
1998,Group,England,Tunisia,2,0,1,0,2,1,same,no
1998,Group,Romania,Colombia,1,0,1,0,1,1,first,no
1998,Group,Germany,USA,2,0,1,0,2,1,same,no
1998,Group,Scotland,Norway,1,1,0,0,2,0,second,yes
1998,Group,Brazil,Morocco,3,0,2,0,3,2,first,no
1998,Group,Chile,Austria,1,1,0,0,2,0,second,yes
1998,Group,Italy,Cameroon,3,0,1,0,3,1,second,no
1998,Group,South Africa,Denmark,1,1,0,1,2,1,same,yes
1998,Group,France,Saudi Arabia,4,0,1,0,4,1,second,no
1998,Group,Nigeria,Bulgaria,1,0,1,0,1,1,first,no
1998,Group,Spain,Paraguay,0,0,0,0,0,0,same,no
1998,Group,Japan,Croatia,0,1,0,0,1,0,second,no
1998,Group,Belgium,Mexico,2,2,1,0,4,1,second,yes
1998,Group,Netherlands,Korea Republic,5,0,2,0,5,2,second,no
1998,Group,Germany,Yugoslavia,2,2,0,1,4,1,second,yes
1998,Group,Argentina,Jamaica,5,0,1,0,5,1,second,no
1998,Group,USA,Iran,1,2,0,1,3,1,second,yes
1998,Group,Colombia,Tunisia,1,0,0,0,1,0,second,no
1998,Group,Romania,England,2,1,0,0,3,0,second,yes
1998,Group,Italy,Austria,2,1,0,0,3,0,second,yes
1998,Group,Chile,Cameroon,1,1,1,0,2,1,same,yes
1998,Group,Scotland,Morocco,0,3,0,1,3,1,second,no
1998,Group,Brazil,Norway,1,2,0,0,3,0,second,yes
1998,Group,France,Denmark,2,1,1,1,3,2,first,yes
1998,Group,South Africa,Saudi Arabia,2,2,1,1,4,2,same,yes
1998,Group,Spain,Bulgaria,6,1,2,0,7,2,second,yes
1998,Group,Nigeria,Paraguay,1,3,1,1,4,2,same,yes
1998,Group,Belgium,Korea Republic,1,1,1,0,2,1,same,yes
1998,Group,Netherlands,Mexico,2,2,2,0,4,2,same,yes
1998,Group,Germany,Iran,2,0,0,0,2,0,second,no
1998,Group,USA,Yugoslavia,0,1,0,1,1,1,first,no
1998,Group,Japan,Jamaica,1,2,0,1,3,1,second,yes
1998,Group,Argentina,Croatia,1,0,1,0,1,1,first,no
1998,Group,Romania,Tunisia,1,1,0,1,2,1,same,yes
1998,Group,Colombia,England,0,2,0,2,2,2,first,no
1998,Round of 16,Italy,Norway,1,0,1,0,1,1,first,no
1998,Round of 16,Brazil,Chile,4,1,3,0,5,3,first,yes
1998,Round of 16,France,Paraguay,1,0,0,0,1,0,second,no
1998,Round of 16,Nigeria,Denmark,1,4,0,2,5,2,second,yes
1998,Round of 16,Germany,Mexico,2,1,0,0,3,0,second,yes
1998,Round of 16,Netherlands,Yugoslavia,2,1,1,0,3,1,second,yes
1998,Round of 16,Romania,Croatia,0,1,0,1,1,1,first,no
1998,Round of 16,Argentina,England,2,2,0,0,4,0,second,yes
1998,Quarter-finals,Italy,France,0,0,0,0,0,0,same,no
1998,Quarter-finals,Brazil,Denmark,3,2,2,1,5,3,first,yes
1998,Quarter-finals,Netherlands,Argentina,2,1,1,1,3,2,first,yes
1998,Quarter-finals,Germany,Croatia,0,3,0,1,3,1,second,no
1998,Semi-finals,Brazil,Netherlands,1,1,0,0,2,0,second,yes
1998,Semi-finals,France,Croatia,2,1,0,0,3,0,second,yes
1998,Third Place Play-off,Netherlands,Croatia,1,2,1,2,3,3,first,yes
1998,Final,Brazil,France,0,3,0,2,3,2,first,no
2002,Group,France,Senegal,0,1,0,1,1,1,first,no
2002,Group,Uruguay,Denmark,1,2,0,1,3,1,second,yes
2002,Group,"rn"">Republic of Ireland",Cameroon,1,1,0,1,2,1,same,yes
2002,Group,Germany,Saudi Arabia,8,0,4,0,8,4,same,no
2002,Group,Argentina,Nigeria,1,0,0,0,1,0,second,no
2002,Group,Paraguay,South Africa,2,2,1,0,4,1,second,yes
2002,Group,England,Sweden,1,1,1,0,2,1,same,yes
2002,Group,Spain,Slovenia,3,1,1,0,4,1,second,yes
2002,Group,Brazil,Turkey,2,1,0,1,3,1,second,yes
2002,Group,Italy,Ecuador,2,0,2,0,2,2,first,no
2002,Group,Croatia,Mexico,0,1,0,0,1,0,second,no
2002,Group,China PR,Costa Rica,0,2,0,0,2,0,second,no
2002,Group,Japan,Belgium,2,2,0,0,4,0,second,yes
2002,Group,Korea Republic,Poland,2,0,1,0,2,1,same,no
2002,Group,Russia,Tunisia,2,0,0,0,2,0,second,no
2002,Group,USA,Portugal,3,2,3,1,5,4,first,yes
2002,Group,Germany,"rn"">Republic of Ireland",1,1,1,0,2,1,same,yes
2002,Group,Denmark,Senegal,1,1,1,0,2,1,same,yes
2002,Group,Cameroon,Saudi Arabia,1,0,0,0,1,0,second,no
2002,Group,France,Uruguay,0,0,0,0,0,0,same,no
2002,Group,Sweden,Nigeria,2,1,1,1,3,2,first,yes
2002,Group,Argentina,England,0,1,0,1,1,1,first,no
2002,Group,Spain,Paraguay,3,1,0,1,4,1,second,yes
2002,Group,South Africa,Slovenia,1,0,1,0,1,1,first,no
2002,Group,Brazil,China PR,4,0,3,0,4,3,first,no
2002,Group,Italy,Croatia,1,2,0,0,3,0,second,yes
2002,Group,Costa Rica,Turkey,1,1,0,0,2,0,second,yes
2002,Group,Japan,Russia,1,0,0,0,1,0,second,no
2002,Group,Mexico,Ecuador,2,1,1,1,3,2,first,yes
2002,Group,Korea Republic,USA,1,1,0,1,2,1,same,yes
2002,Group,Portugal,Poland,4,0,1,0,4,1,second,no
2002,Group,Tunisia,Belgium,1,1,1,1,2,2,first,yes
2002,Group,Denmark,France,2,0,1,0,2,1,same,no
2002,Group,Senegal,Uruguay,3,3,3,0,6,3,same,yes
2002,Group,Saudi Arabia,"rn"">Republic of Ireland",0,3,0,1,3,1,second,no
2002,Group,Cameroon,Germany,0,2,0,0,2,0,second,no
2002,Group,Sweden,Argentina,1,1,0,0,2,0,second,yes
2002,Group,Nigeria,England,0,0,0,0,0,0,same,no
2002,Group,Slovenia,Paraguay,1,3,1,0,4,1,second,yes
2002,Group,South Africa,Spain,2,3,1,2,5,3,first,yes
2002,Group,Costa Rica,Brazil,2,5,1,3,7,4,first,yes
2002,Group,Turkey,China PR,3,0,2,0,3,2,first,no
2002,Group,Ecuador,Croatia,1,0,0,0,1,0,second,no
2002,Group,Mexico,Italy,1,1,1,0,2,1,same,yes
2002,Group,Tunisia,Japan,0,2,0,0,2,0,second,no
2002,Group,Portugal,Korea Republic,0,1,0,0,1,0,second,no
2002,Group,Poland,USA,3,1,2,0,4,2,same,yes
2002,Group,Belgium,Russia,3,2,1,0,5,1,second,yes
2002,Round of 16,Denmark,England,0,3,0,3,3,3,first,no
2002,Round of 16,Germany,Paraguay,1,0,0,0,1,0,second,no
2002,Round of 16,Spain,"rn"">Republic of Ireland",1,1,0,0,2,0,second,yes
2002,Round of 16,Sweden,Senegal,1,2,0,0,3,0,second,yes
2002,Round of 16,Brazil,Belgium,2,0,0,0,2,0,second,no
2002,Round of 16,Mexico,USA,0,2,0,1,2,1,same,no
2002,Round of 16,Japan,Turkey,0,1,0,1,1,1,first,no
2002,Round of 16,Korea Republic,Italy,2,1,0,0,3,0,second,yes
2002,Quarter-finals,England,Brazil,1,2,1,1,3,2,first,yes
2002,Quarter-finals,Germany,USA,1,0,1,0,1,1,first,no
2002,Quarter-finals,Senegal,Turkey,0,1,0,0,1,0,second,no
2002,Quarter-finals,Spain,Korea Republic,0,0,0,0,0,0,same,no
2002,Semi-finals,Germany,Korea Republic,1,0,0,0,1,0,second,no
2002,Semi-finals,Brazil,Turkey,1,0,0,0,1,0,second,no
2002,Third Place Play-off,Korea Republic,Turkey,2,3,1,3,5,4,first,yes
2002,Final,Germany,Brazil,0,2,0,0,2,0,second,no
2006,Group,Germany,Costa Rica,4,2,2,1,6,3,same,yes
2006,Group,Poland,Ecuador,0,2,0,1,2,1,same,no
2006,Group,England,Paraguay,1,0,1,0,1,1,first,no
2006,Group,"rn"">Trinidad and Tobago",Sweden,0,0,0,0,0,0,same,no
2006,Group,Argentina,C�te d'Ivoire,2,1,2,0,3,2,first,yes
2006,Group,"rn"">Serbia and Montenegro",Netherlands,0,1,0,1,1,1,first,no
2006,Group,Mexico,Iran,3,1,1,1,4,2,same,yes
2006,Group,Angola,Portugal,0,1,0,1,1,1,first,no
2006,Group,Australia,Japan,3,1,0,1,4,1,second,yes
2006,Group,USA,Czech Republic,0,3,0,2,3,2,first,no
2006,Group,Italy,Ghana,2,0,1,0,2,1,same,no
2006,Group,Korea Republic,Togo,2,1,0,1,3,1,second,yes
2006,Group,France,Switzerland,0,0,0,0,0,0,same,no
2006,Group,Brazil,Croatia,1,0,1,0,1,1,first,no
2006,Group,Spain,Ukraine,4,0,2,0,4,2,same,no
2006,Group,Tunisia,Saudi Arabia,2,2,1,0,4,1,second,yes
2006,Group,Germany,Poland,1,0,0,0,1,0,second,no
2006,Group,Ecuador,Costa Rica,3,0,1,0,3,1,second,no
2006,Group,England,"rn"">Trinidad and Tobago",2,0,0,0,2,0,second,no
2006,Group,Sweden,Paraguay,1,0,0,0,1,0,second,no
2006,Group,Argentina,"rn"">Serbia and Montenegro",6,0,3,0,6,3,same,no
2006,Group,Netherlands,C�te d'Ivoire,2,1,2,1,3,3,first,yes
2006,Group,Mexico,Angola,0,0,0,0,0,0,same,no
2006,Group,Portugal,IR Iran,2,0,0,0,2,0,second,no
2006,Group,Czech Republic,Ghana,0,2,0,1,2,1,same,no
2006,Group,Italy,USA,1,1,1,1,2,2,first,yes
2006,Group,Japan,Croatia,0,0,0,0,0,0,same,no
2006,Group,Brazil,Australia,2,0,0,0,2,0,second,no
2006,Group,France,Korea Republic,1,1,1,0,2,1,same,yes
2006,Group,Togo,Switzerland,0,2,0,1,2,1,same,no
2006,Group,Saudi Arabia,Ukraine,0,4,0,2,4,2,same,no
2006,Group,Spain,Tunisia,3,1,0,1,4,1,second,yes
2006,Group,Ecuador,Germany,0,3,0,2,3,2,first,no
2006,Group,Costa Rica,Poland,1,2,1,1,3,2,first,yes
2006,Group,Sweden,England,2,2,0,1,4,1,second,yes
2006,Group,Paraguay,"rn"">Trinidad and Tobago",2,0,1,0,2,1,same,no
2006,Group,Iran,Angola,1,1,0,0,2,0,second,yes
2006,Group,Portugal,Mexico,2,1,2,1,3,3,first,yes
2006,Group,Netherlands,Argentina,0,0,0,0,0,0,same,no
2006,Group,C�te d'Ivoire,"rn"">Serbia and Montenegro",3,2,1,2,5,3,first,yes
2006,Group,Czech Republic,Italy,0,2,0,1,2,1,same,no
2006,Group,Ghana,USA,2,1,2,1,3,3,first,yes
2006,Group,Japan,Brazil,1,4,1,1,5,2,second,yes
